num_clients,c,run,avg_completion_time_ms,jfi
5,10,1,0.9022850077599287,0.9808452989282046
5,10,2,1.8274309841217473,0.8323614021735825
5,10,3,2.4106750109543404,0.6871175359608449
5,10,4,0.5277700140140951,0.9731881715097237
5,10,5,0.6178710027597845,0.8697896461471674
5,15,1,1.426542003173381,0.8192570323065973
5,15,2,0.6563640083186328,0.8993806573929696
5,15,3,1.0716156102716923,0.801649665919645
5,15,4,0.985942198894918,0.6788204867138097
5,15,5,0.5139634246006608,0.931566466796541
5,20,1,0.8734989911317825,0.9228746793636695
5,20,2,1.0947827831842005,0.8475034758321967
5,20,3,0.9466135874390602,0.8495032001929842
5,20,4,5.026845494285226,0.551156392691427
5,20,5,1.514351589139551,0.8359623756009955
5,25,1,0.6526218145154417,0.8724866185522702
5,25,2,0.6667239940725267,0.9012112614645003
5,25,3,0.8184055186575279,0.8052258427386145
5,25,4,0.8127817884087563,0.9175846974917667
5,25,5,0.9861433994956315,0.8668676603347973
5,30,1,0.6300245993770659,0.905584948379977
5,30,2,0.8456113981083035,0.9167931760439364
5,30,3,0.4739576135762036,0.9544172542388747
5,30,4,1.1756751802749932,0.8029718611613084
5,30,5,1.2119867955334485,0.7550862801958856
5,35,1,0.7311130058951676,0.7894995076037508
5,35,2,0.6545927957631648,0.8431810841219066
5,35,3,0.479010003618896,0.9680083430141966
5,35,4,0.8389853988774121,0.8349034201428384
5,35,5,0.606858020182699,0.959516820826102
5,40,1,1.2183763513651986,0.8771133426380642
5,40,2,2.19487618887797,0.8329395287090601
5,40,3,0.5533927615033463,0.78176096307341
5,40,4,0.736579205840826,0.6161263607292122
5,40,5,1.0168185108341277,0.937794561439503
5,45,1,0.8708751993253827,0.9231160102719951
5,45,2,1.3955861912108958,0.9976771431751249
5,45,3,1.1578736011870205,0.8654820122214405
5,45,4,2.081244206055999,0.8296462428819514
5,45,5,0.6699913996271789,0.8638400876248604
5,50,1,1.3823166023939848,0.7869370133548546
5,50,2,0.5540919955819845,0.9894722540164271
5,50,3,0.6100579863414168,0.9694098663628635
5,50,4,0.7070312567520887,0.9228939059483647
5,50,5,0.6920351879671216,0.9455905917483568
